fold,train_loss,train_accuracy,train_f1_score,validation_loss,validation_accuracy,validation_f1_score,test_loss,test_accuracy,test_f1_score
Fold0,0.429,0.795,0.748,0.441,0.851,0.819,0.458,0.822,0.807
Fold1,0.389,0.830,0.803,0.327,0.903,0.884,0.407,0.828,0.812
Fold2,0.399,0.825,0.796,0.334,0.877,0.857,0.432,0.793,0.739
Fold3,0.384,0.831,0.799,0.390,0.831,0.806,0.421,0.793,0.753
Fold4,0.372,0.836,0.807,0.466,0.786,0.756,0.366,0.816,0.797
Fold5,0.369,0.840,0.803,0.442,0.831,0.829,0.548,0.747,0.690
Fold6,0.382,0.837,0.803,0.352,0.864,0.840,0.432,0.816,0.810
Fold7,0.376,0.832,0.806,0.398,0.864,0.849,0.362,0.897,0.864
Fold8,0.394,0.822,0.779,0.411,0.864,0.842,0.460,0.782,0.743
Fold9,0.403,0.825,0.792,0.495,0.818,0.797,0.398,0.822,0.760
